Date : 2024-09-20 17:15:04
Directory : /Users/maythamajam/Workspace/guideway
Total : 157 files,  25305 codes, 242 comments, 1404 blanks, all 26951 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/[id]/_components/post/PostMenu.tsx                  | TypeScript JSX     |        201 |          0 |          9 |        210 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/[id]/_components/post/comment/CommentInput.tsx      | TypeScript JSX     |         63 |          0 |          6 |         69 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/[id]/_components/post/comment/Comments.tsx          | TypeScript JSX     |         99 |          0 |          5 |        104 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/[id]/page.tsx                                       | TypeScript JSX     |        107 |          1 |          9 |        117 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/page.tsx                                            | TypeScript JSX     |          5 |          0 |          3 |          8 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/settings/[id]/_components/BadgeSelector.tsx         | TypeScript JSX     |        153 |          0 |          7 |        160 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/settings/[id]/_components/MemberRow.tsx             | TypeScript JSX     |         97 |          1 |          6 |        104 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/settings/[id]/_components/MembersTable.tsx          | TypeScript JSX     |         36 |          0 |          4 |         40 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/settings/[id]/_components/RolesAndPermissions.tsx   | TypeScript JSX     |        545 |          2 |         28 |        575 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/settings/[id]/_components/UserRoleBadgeWrapper.tsx  | TypeScript JSX     |         10 |          0 |          1 |         11 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/settings/[id]/page.tsx                              | TypeScript JSX     |         58 |          1 |          7 |         66 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/layout.tsx                                                 | TypeScript JSX     |         57 |          0 |         10 |         67 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/page.tsx                                                   | TypeScript JSX     |         68 |          0 |         11 |         79 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/settings/components/appearance/Darkmode.tsx                | TypeScript JSX     |         90 |          0 |          6 |         96 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/settings/components/appearance/Font.tsx                    | TypeScript JSX     |         78 |          0 |          5 |         83 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/settings/components/appearance/Theme.tsx                   | TypeScript JSX     |         86 |          2 |          5 |         93 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/settings/components/appearance/_actions/save-color-mode.ts | TypeScript         |         15 |          0 |          4 |         19 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/settings/components/appearance/_actions/save-font.ts       | TypeScript         |         16 |          0 |          5 |         21 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/settings/components/appearance/_actions/save-theme.ts      | TypeScript         |         16 |          0 |          6 |         22 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/settings/page.tsx                                          | TypeScript JSX     |         54 |          0 |          6 |         60 |
| /Users/maythamajam/Workspace/guideway/src/app/api/getUserRole/route.ts                                                         | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/maythamajam/Workspace/guideway/src/app/auth/error/page.tsx                                                              | TypeScript JSX     |         43 |          1 |         10 |         54 |
| /Users/maythamajam/Workspace/guideway/src/app/auth/forgot-password/page.tsx                                                    | TypeScript JSX     |        107 |          1 |          6 |        114 |
| /Users/maythamajam/Workspace/guideway/src/app/auth/google/callback/route.ts                                                    | TypeScript         |        120 |          0 |         20 |        140 |
| /Users/maythamajam/Workspace/guideway/src/app/auth/google/route.ts                                                             | TypeScript         |         26 |          0 |          5 |         31 |
| /Users/maythamajam/Workspace/guideway/src/app/auth/layout.tsx                                                                  | TypeScript JSX     |          8 |          0 |          2 |         10 |
| /Users/maythamajam/Workspace/guideway/src/app/auth/login/page.tsx                                                              | TypeScript JSX     |          9 |          0 |          2 |         11 |
| /Users/maythamajam/Workspace/guideway/src/app/auth/logout/page.tsx                                                             | TypeScript JSX     |         33 |          0 |          7 |         40 |
| /Users/maythamajam/Workspace/guideway/src/app/auth/oauth/layout.tsx                                                            | TypeScript JSX     |         16 |          0 |          5 |         21 |
| /Users/maythamajam/Workspace/guideway/src/app/auth/oauth/page.tsx                                                              | TypeScript JSX     |        127 |          0 |         14 |        141 |
| /Users/maythamajam/Workspace/guideway/src/app/auth/password-reset/page.tsx                                                     | TypeScript JSX     |        127 |          1 |         10 |        138 |
| /Users/maythamajam/Workspace/guideway/src/app/auth/register/page.tsx                                                           | TypeScript JSX     |          8 |          0 |          2 |         10 |
| /Users/maythamajam/Workspace/guideway/src/app/auth/verify/page.tsx                                                             | TypeScript JSX     |          5 |          0 |          3 |          8 |
| /Users/maythamajam/Workspace/guideway/src/app/faq/page.tsx                                                                     | TypeScript JSX     |        211 |          0 |         13 |        224 |
| /Users/maythamajam/Workspace/guideway/src/app/layout.tsx                                                                       | TypeScript JSX     |         59 |          5 |          6 |         70 |
| /Users/maythamajam/Workspace/guideway/src/app/page.tsx                                                                         | TypeScript JSX     |         11 |          0 |          4 |         15 |
| /Users/maythamajam/Workspace/guideway/src/components/Footer.tsx                                                                | TypeScript JSX     |        213 |         68 |         13 |        294 |
| /Users/maythamajam/Workspace/guideway/src/components/Landing.tsx                                                               | TypeScript JSX     |        501 |          0 |         35 |        536 |
| /Users/maythamajam/Workspace/guideway/src/components/Navbar.tsx                                                                | TypeScript JSX     |        120 |         19 |          8 |        147 |
| /Users/maythamajam/Workspace/guideway/src/components/UserRoleBadge.tsx                                                         | TypeScript JSX     |         34 |          0 |          6 |         40 |
| /Users/maythamajam/Workspace/guideway/src/components/forms/FormCard.tsx                                                        | TypeScript JSX     |         32 |          0 |          3 |         35 |
| /Users/maythamajam/Workspace/guideway/src/components/forms/FormInfo.tsx                                                        | TypeScript JSX     |         38 |          0 |          6 |         44 |
| /Users/maythamajam/Workspace/guideway/src/components/forms/LoginForm.tsx                                                       | TypeScript JSX     |        130 |          0 |          8 |        138 |
| /Users/maythamajam/Workspace/guideway/src/components/forms/RegisterForm.tsx                                                    | TypeScript JSX     |        183 |          0 |         11 |        194 |
| /Users/maythamajam/Workspace/guideway/src/components/forms/UpdatesSubscribeForm.tsx                                            | TypeScript JSX     |        106 |          0 |          7 |        113 |
| /Users/maythamajam/Workspace/guideway/src/components/forms/VerifyForm.tsx                                                      | TypeScript JSX     |         56 |          0 |         10 |         66 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/ThemeProvider.tsx                                                      | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/accordion.tsx                                                          | TypeScript JSX     |         50 |          0 |          8 |         58 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/alert-dialog.tsx                                                       | TypeScript JSX     |        127 |          0 |         15 |        142 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/alert.tsx                                                              | TypeScript JSX     |         53 |          0 |          7 |         60 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/aspect-ratio.tsx                                                       | TypeScript JSX     |          4 |          0 |          4 |          8 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/avatar.tsx                                                             | TypeScript JSX     |         44 |          0 |          7 |         51 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/badge.tsx                                                              | TypeScript JSX     |         31 |          0 |          6 |         37 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/breadcrumb.tsx                                                         | TypeScript JSX     |        105 |          0 |         11 |        116 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/button.tsx                                                             | TypeScript JSX     |         52 |          0 |          6 |         58 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/calendar.tsx                                                           | TypeScript JSX     |         67 |          0 |          6 |         73 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/card.tsx                                                               | TypeScript JSX     |         78 |          0 |          9 |         87 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/carousel.tsx                                                           | TypeScript JSX     |        232 |          0 |         31 |        263 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/checkbox.tsx                                                           | TypeScript JSX     |         26 |          0 |          5 |         31 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/collapsible.tsx                                                        | TypeScript JSX     |          6 |          0 |          6 |         12 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/command.tsx                                                            | TypeScript JSX     |        137 |          0 |         19 |        156 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/context-menu.tsx                                                       | TypeScript JSX     |        186 |          0 |         19 |        205 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/dialog.tsx                                                             | TypeScript JSX     |        109 |          0 |         14 |        123 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/drawer.tsx                                                             | TypeScript JSX     |        105 |          0 |         14 |        119 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/dropdown-menu.tsx                                                      | TypeScript JSX     |        187 |          0 |         19 |        206 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/form.tsx                                                               | TypeScript JSX     |        153 |          0 |         25 |        178 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/hover-card.tsx                                                         | TypeScript JSX     |         23 |          0 |          7 |         30 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/input.tsx                                                              | TypeScript JSX     |         21 |          0 |          5 |         26 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/label.tsx                                                              | TypeScript JSX     |         21 |          0 |          6 |         27 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/menubar.tsx                                                            | TypeScript JSX     |        221 |          0 |         20 |        241 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/navigation-menu.tsx                                                    | TypeScript JSX     |        117 |          0 |         12 |        129 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/pagination.tsx                                                         | TypeScript JSX     |        111 |          0 |         11 |        122 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/popover.tsx                                                            | TypeScript JSX     |         26 |          0 |          8 |         34 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/progress.tsx                                                           | TypeScript JSX     |         24 |          0 |          5 |         29 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/radio-group.tsx                                                        | TypeScript JSX     |         39 |          0 |          6 |         45 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/resizable.tsx                                                          | TypeScript JSX     |         39 |          0 |          7 |         46 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/scroll-area.tsx                                                        | TypeScript JSX     |         43 |          0 |          6 |         49 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/select.tsx                                                             | TypeScript JSX     |        151 |          0 |         14 |        165 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/separator.tsx                                                          | TypeScript JSX     |         27 |          0 |          5 |         32 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/sheet.tsx                                                              | TypeScript JSX     |        125 |          0 |         16 |        141 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/skeleton.tsx                                                           | TypeScript JSX     |         13 |          0 |          3 |         16 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/slider.tsx                                                             | TypeScript JSX     |         24 |          0 |          5 |         29 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/sonner.tsx                                                             | TypeScript JSX     |         26 |          0 |          6 |         32 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/switch.tsx                                                             | TypeScript JSX     |         25 |          0 |          5 |         30 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/table.tsx                                                              | TypeScript JSX     |        110 |          0 |         11 |        121 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/tabs.tsx                                                               | TypeScript JSX     |         48 |          0 |          8 |         56 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/textarea.tsx                                                           | TypeScript JSX     |         20 |          0 |          5 |         25 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/toast.tsx                                                              | TypeScript JSX     |        116 |          0 |         14 |        130 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/toaster.tsx                                                            | TypeScript JSX     |         32 |          0 |          4 |         36 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/toggle-group.tsx                                                       | TypeScript JSX     |         52 |          0 |         10 |         62 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/toggle.tsx                                                             | TypeScript JSX     |         39 |          0 |          7 |         46 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/tooltip.tsx                                                            | TypeScript JSX     |         23 |          0 |          8 |         31 |
| /Users/maythamajam/Workspace/guideway/src/components/ui/use-toast.ts                                                           | TypeScript         |        157 |          3 |         32 |        192 |
| /Users/maythamajam/Workspace/guideway/src/env.js                                                                               | JavaScript         |         32 |         22 |          4 |         58 |
| /Users/maythamajam/Workspace/guideway/src/lib/email.ts                                                                         | TypeScript         |        105 |          1 |         10 |        116 |
| /Users/maythamajam/Workspace/guideway/src/lib/routes.ts                                                                        | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/maythamajam/Workspace/guideway/src/lib/tokens.ts                                                                        | TypeScript         |         84 |          2 |         15 |        101 |
| /Users/maythamajam/Workspace/guideway/src/lib/types.ts                                                                         | TypeScript         |         79 |          0 |         17 |         96 |
| /Users/maythamajam/Workspace/guideway/src/lib/utils.ts                                                                         | TypeScript         |         65 |          4 |         11 |         80 |
| /Users/maythamajam/Workspace/guideway/src/lib/validation.ts                                                                    | TypeScript         |        107 |          5 |         14 |        126 |
| /Users/maythamajam/Workspace/guideway/src/server/auth.ts                                                                       | TypeScript         |         73 |         45 |         15 |        133 |
| /Users/maythamajam/Workspace/guideway/src/server/db.ts                                                                         | TypeScript         |         12 |          0 |          6 |         18 |
| /Users/maythamajam/Workspace/guideway/src/stores/group-store.ts                                                                | TypeScript         |         12 |          0 |          3 |         15 |
| /Users/maythamajam/Workspace/guideway/src/stores/post-store.ts                                                                 | TypeScript         |         12 |          0 |          3 |         15 |
| /Users/maythamajam/Workspace/guideway/src/stores/user-store.ts                                                                 | TypeScript         |         12 |          0 |          3 |         15 |
| /Users/maythamajam/Workspace/guideway/src/styles/globals.css                                                                   | CSS                |        564 |          0 |         35 |        599 |
